Time_ms,Voltage_V,Current_mA,Power_mW,Temp_C,RPM,Bearing_Fault,Airflow_Fault
47485,4.72,346.4,1640.0,32.13,4380,0,0
48517,4.68,291.6,1361.6,32.13,4320,0,0
49549,4.66,316.12,1435.2,32.19,4380,0,0
50581,4.69,297.72,1389.6,32.19,4380,0,0
51613,4.64,298.4,1373.6,32.19,4320,0,0
52645,4.68,298.4,1386.4,32.19,4320,0,0
53677,4.72,359.4,1622.4,32.19,4320,0,0
54709,4.72,303.8,1423.2,32.19,4380,0,0
55741,4.73,345.4,1629.6,32.19,4380,0,0
56773,4.66,293.72,1371.2,32.19,4380,0,0
57805,4.7,345.12,1634.4,32.19,4320,0,0
58837,4.67,310.32,1367.2,32.25,4320,0,0
59869,4.67,319.6,1499.2,32.25,4320,0,0
60901,4.68,301.8,1380.0,32.25,4320,0,0
61933,4.72,318.92,1490.4,32.25,4320,0,0
62965,4.72,338.0,1675.2,32.25,4320,0,0
63997,4.67,297.8,1507.2,32.25,4320,0,0
65029,4.68,335.72,1588.8,32.31,4320,0,0
66061,4.73,344.2,1615.2,32.31,4320,0,0
67093,4.73,332.92,1571.2,32.31,4260,0,0
68125,4.72,361.4,1621.6,32.31,4320,0,0
69157,4.66,310.6,1466.4,32.31,4320,0,0
70189,4.71,296.0,1381.6,32.31,4260,0,0
71221,4.72,303.52,1394.4,32.31,4320,0,0
72253,4.72,339.6,1596.8,32.38,4320,0,0
73285,4.66,303.32,1353.6,32.38,4320,0,0
74317,4.71,295.6,1383.2,32.38,4320,0,0
75349,4.65,290.6,1359.2,32.38,4380,0,0
76381,4.71,299.2,1388.0,32.38,4320,0,0
77413,4.72,359.6,1701.6,32.38,4320,0,0
78445,4.73,342.72,1488.8,32.38,4380,0,0
79477,4.7,344.4,1626.4,32.44,4380,0,0
80509,4.67,315.92,1488.8,32.44,4380,0,0
81541,4.65,303.0,1396.0,32.44,4320,0,0
82573,4.67,321.52,1516.8,32.44,4320,0,0
83605,4.72,305.8,1397.6,32.44,4320,0,0
84637,4.67,306.12,1439.2,32.44,4320,0,0
85669,4.69,358.2,1694.4,32.44,4320,0,0
86701,4.72,328.32,1694.4,32.44,4320,0,0
87733,4.72,298.4,1396.0,32.44,4380,0,0
88765,4.72,354.6,1599.2,32.44,4380,0,0
89797,4.67,307.4,1452.0,32.44,4380,0,0
90829,4.68,305.4,1428.8,32.5,4320,0,0
91861,4.72,337.32,1447.2,32.44,4380,0,0
92893,4.68,356.6,1687.2,32.44,4320,0,0
93925,4.71,320.32,1664.8,32.5,4320,0,0
94957,4.65,295.2,1379.2,32.5,4320,0,0
95989,4.66,304.52,1436.8,32.5,4380,0,0
97021,4.68,290.12,1435.2,32.5,4320,0,0
