68112,4.97,135.40,660.80,32.94,4500
69144,4.82,113.92,566.40,32.94,4560
70176,4.96,142.40,704.00,32.94,4560
71208,4.96,105.20,950.40,33.00,4560
72240,4.86,105.32,519.20,32.94,4560
73272,4.93,141.20,698.40,32.94,4560
74304,4.89,126.80,520.00,32.94,4500
75336,4.96,105.20,934.40,32.94,4560
76368,4.96,134.52,652.80,32.94,4500
77400,4.82,115.72,560.00,32.94,4560
78432,4.90,171.80,644.80,32.94,4560
79464,4.94,104.32,516.80,32.94,4560
80496,4.90,130.20,644.80,32.94,4560
81528,4.96,156.20,749.60,32.94,4560
82560,4.96,111.00,689.60,32.88,4560
83592,4.90,109.92,537.60,32.94,4560
84624,4.86,138.52,685.60,32.88,4560
85656,4.86,127.32,519.20,32.88,4560
86688,4.91,113.12,550.40,32.94,4560
87720,4.96,182.80,901.60,32.88,4560
88752,4.95,164.00,768.00,32.94,4500
89784,4.94,107.32,668.80,32.88,4560
90816,4.92,137.80,683.20,32.88,4500
91848,4.87,125.40,622.40,32.88,4560
92880,4.89,134.92,624.00,32.88,4500
93912,4.96,172.52,848.00,32.88,4560
94944,4.89,106.72,524.00,32.88,4560
95976,4.92,170.72,548.00,32.88,4560
97008,4.85,128.12,585.60,32.88,4500
98040,4.91,109.32,542.40,32.88,4560
99072,4.90,117.12,581.60,32.81,4500
100104,4.93,107.52,640.80,32.88,4560
101136,4.94,137.72,677.60,32.88,4500
102168,4.86,118.52,588.80,32.81,4560
103200,4.96,137.72,850.40,32.88,4560
104232,4.92,110.00,580.80,32.81,4560
105264,4.97,120.92,595.20,32.81,4560
106296,4.90,117.00,580.80,32.81,4560
107328,4.96,104.60,740.80,32.81,4560
108360,4.96,166.20,813.60,32.81,4560
109392,4.96,128.40,632.00,32.81,4560
110424,4.97,112.92,661.60,32.81,4500
111456,4.95,104.92,816.80,32.81,4560
112488,4.93,123.32,604.00,32.81,4500
113520,4.89,120.52,525.60,32.81,4560
114552,4.92,148.60,525.60,32.75,4560
115584,4.94,143.60,701.60,32.81,4560
116616,4.87,121.52,603.20,32.81,4560
117648,4.93,134.40,680.00,32.75,4500
118680,4.90,119.80,528.00,32.75,4560
