1601651,4.88,184.12,899.20,33.19,3120
1602683,4.86,185.52,700.00,33.19,3180
1603715,4.81,150.12,732.80,33.19,3180
1604747,4.86,148.40,712.00,33.19,3180
1605779,4.88,173.80,833.60,33.19,3120
1606811,4.88,146.32,710.40,33.19,3120
1607843,4.81,166.72,716.80,33.19,3120
1608875,4.82,147.80,718.40,33.19,3120
1609907,4.84,184.32,777.60,33.19,3180
1610939,4.88,149.60,726.40,33.19,3120
1611971,4.90,192.52,753.60,33.19,3180
1613003,4.87,187.00,909.60,33.19,3120
1614035,4.83,155.60,757.60,33.19,3180
1615067,4.82,185.92,900.80,33.19,3120
1617131,4.83,149.40,732.80,33.19,3180
1618163,4.82,168.12,820.80,33.19,3120
1619195,4.82,166.52,718.40,33.19,3120
1620227,4.87,194.20,955.20,33.19,3120
1621259,4.88,145.60,728.80,33.13,3120
1622291,4.86,144.40,706.40,33.13,3120
1623323,4.94,185.60,751.20,33.19,3120
1624355,4.84,145.00,710.40,33.13,3120
1625387,4.82,136.80,848.00,33.19,3120
1626419,4.85,151.40,741.60,33.13,3180
1627451,4.84,163.20,712.00,33.19,3120
1628483,4.89,145.60,712.80,33.19,3180
1629515,4.90,183.40,897.60,33.13,3120
1630547,4.87,196.20,962.40,33.13,3120
1631579,4.90,156.40,765.60,33.13,3120
1632611,4.86,154.60,706.40,33.13,3120
1633643,4.89,149.60,734.40,33.13,3120
1634675,4.82,147.00,778.40,33.13,3120
1635707,4.85,148.40,727.20,33.13,3120
1636739,4.90,163.20,632.80,33.13,3120
1637771,4.85,160.72,786.40,33.13,3180
1638803,4.89,144.80,727.20,33.13,3120
1639835,4.82,149.40,732.80,33.13,3180
1640867,4.84,160.12,708.00,33.13,3120
1641899,4.90,177.80,860.80,33.13,3120
1642931,4.82,176.52,732.80,33.13,3180
1643963,4.84,149.80,734.40,33.13,3120
1644995,4.88,185.92,781.60,33.13,3120
1646027,4.84,178.52,870.40,33.13,3120
1647059,4.89,172.72,592.80,33.13,3120
1648091,4.85,159.80,782.40,33.13,3120
1649123,4.87,192.40,936.00,33.13,3120
1650155,4.89,183.12,685.60,33.13,3180
1651187,4.90,159.80,772.00,33.13,3120
1652219,4.90,144.00,784.00,33.13,3120
1653251,4.90,172.92,831.20,33.13,3120
